Position,Number,Name,Team,Laps,Time,Points
1,30,Piero  Taruffi (TAR),Ferrari,62,3:01:46.100,9
2,42,Rudi  Fischer  (FIS),Ferrari,62,+157.200s,6
3,6,Jean Behra (BEH),Gordini,61,+1 lap,4
4,22,Ken  Wharton (WHA),Frazer Nash,60,+2 laps,3
5,26,Alan Brown (BRO),Cooper Bristol,59,+3 laps,2
6,38,Toulo de Graffenried (DEG),Maserati Plate,58,+4 laps,0
7,44,Peter Hirt (HIR),Ferrari,56,+6 laps,0
8,24,Eric  Brandon (BRA),Cooper Bristol,55,+7 laps,0
NC,10,Prince Bira (BIR),Gordini,52,DNF,0
NC,32,Andre  Simon (SIM),Ferrari,,SHC,0
NC,32,Nino Farina (FAR),Ferrari,51,DNF,0
NC,40,Harry Schell (SCH),Maserati Plate,31,DNF,0
NC,46,Stirling Moss (MOS),HWM Alta,24,DNF,0
NC,20,Lance Macklin (MAC),HWM Alta,24,DNF,0
NC,8,Robert  Manzon (MAN),Gordini,20,DNF,0
NC,28,Nino Farina (FAR),Ferrari,16,DNF,0
NC,18,Peter Collins (COL),HWM Alta,12,DNF,0
NC,16,George  Abecassis  (ABE),HWM Alta,12,DNF,0
NC,4,Toni Ulmen (ULM),Veritas,4,DNF,0
NC,2,Hans Von Stuck (STU),AFM Kuchen,4,DNF,0
NC,12,Louis  Rosier (ROS),Ferrari,2,DNF,0
NC,50,Max de Terra (DET),Simca-Gordini,1,DNF,0
