Position,Number,Name,Team,Laps,Time,Points
1,34,Luigi Musso (MUS),Ferrari,,SHC,4
1,34,Juan Manuel Fangio (FAN),Ferrari,98,3:00:03.700,5
2,4,Jean Behra (BEH),Maserati,98,+24.400s,6
3,14,Mike Hawthorn (HAW),Maserati,96,+2 laps,4
4,10,Chico Landi (LAN),Maserati,,SHC,1.5
4,10,Gerino  Gerini  (GER),Maserati,92,+6 laps,1.5
5,38,Olivier  Gendebien (GEN),Ferrari,91,+7 laps,2
6,16,Alberto Uria (URI),Maserati,,SHC,0
6,16,Oscar  Gonzalez  (GON),Maserati,88,+10 laps,0
NC,2,Stirling Moss (MOS),Maserati,81,DNF,0
NC,36,Peter Collins (COL),Ferrari,58,DNF,0
NC,8,Luigi Piotti (PIO),Maserati,57,DNF,0
NC,6,Carlos Menditeguy (MEN),Maserati,42,DNF,0
NC,32,Eugenio Castellotti (CAS),Ferrari,40,DNF,0
NC,12,Jose Froilan Gonzalez (GON),Maserati,24,DNF,0
NC,30,Juan Manuel Fangio (FAN),Ferrari,22,DNF,0
