Position,Number,Name,Team,Laps,Time,Points
1,28,Stirling Moss (MOS),Maserati,100,3:00:32.900,8
2,26,Peter Collins (COL),Ferrari,,SHC,3
2,26,Juan Manuel Fangio (FAN),Ferrari,100,+6.100s,4
3,30,Jean Behra (BEH),Maserati,99,+1 lap,4
4,20,Juan Manuel Fangio (FAN),Ferrari,,SHC,0
4,20,Eugenio Castellotti (CAS),Ferrari,94,+6 laps,1.5
5,6,Hermano da Silva Ramos (DAS),Gordini,93,+7 laps,2
NC,2,Robert  Manzon (MAN),Gordini,90,DNF,0
6,4,Elie Bayol (BAY),Gordini,,SHC,0
6,4,Andre Pilette (PIL),Gordini,88,+12 laps,0
7,32,Cesare Perdisa (PER),Maserati,86,+14 laps,0
8,18,Horace  Gould  (GOU),Maserati,85,+15 laps,0
NC,8,Louis  Rosier (ROS),Maserati,72,DNF,0
NC,22,Eugenio Castellotti (CAS),Ferrari,14,DNF,0
NC,14,Maurice  Trintignant (TRI),Vanwall,13,DNF,0
NC,16,Harry Schell (SCH),Vanwall,2,DNF,0
NC,24,Luigi Musso (MUS),Ferrari,2,DNF,0
