Position,Number,Name,Team,Laps,Time,Points
1,20,Tony Brooks (BRO),Vanwall,,SHC,4
1,20,Stirling Moss (MOS),Vanwall,90,3:06:37.800,5
2,14,Luigi Musso (MUS),Ferrari,90,+25.600s,6
3,10,Mike Hawthorn (HAW),Ferrari,90,+42.800s,4
4,16,Maurice  Trintignant (TRI),Ferrari,,SHC,3
4,16,Peter Collins (COL),Ferrari,88,+2 laps,0
5,36,Roy Salvadori (SAL),Cooper Climax,85,+5 laps,2
6,38,Bob  Gerard (GER),Cooper Bristol,82,+8 laps,0
7,22,Stuart  Lewis-Evans  (LEW),Vanwall,82,+8 laps,0
NC,34,Jack Brabham (BRA),Cooper Climax,74,DNF,0
8,32,Ivor  Bueb  (BUE),Maserati,71,+19 laps,0
NC,4,Jean Behra (BEH),Maserati,69,DNF,0
NC,12,Peter Collins (COL),Ferrari,53,DNF,0
NC,18,Stirling Moss (MOS),Vanwall,,SHC,0
NC,18,Tony Brooks (BRO),Vanwall,51,DNF,0
NC,2,Juan Manuel Fangio (FAN),Maserati,49,DNF,0
NC,24,Jack  Fairman (FAI),BRM,46,DNF,0
NC,26,Les  Leston  (LES),BRM,44,DNF,0
NC,6,Harry Schell (SCH),Maserati,39,DNF,0
NC,8,Carlos Menditeguy (MEN),Maserati,35,DNF,0
NC,28,Jo Bonnier (BON),Maserati,18,DNF,0
