Position,Number,Name,Team,Laps,Time,Points
1,4,Mike Hawthorn (HAW),Ferrari,50,2:03:21.300,9
2,8,Stirling Moss (MOS),Vanwall,50,+24.600s,6
3,6,Wolfgang von Trips (VON),Ferrari,50,+59.700s,4
4,34,Juan Manuel Fangio (FAN),Maserati,50,+150.600s,3
5,42,Peter Collins (COL),Ferrari,50,+324.900s,2
6,22,Jack Brabham (BRA),Cooper Climax,49,+1 lap,0
7,36,Phil Hill (HIL),Maserati,49,+1 lap,0
8,38,Jo Bonnier (BON),Maserati,48,+2 laps,0
9,32,Gerino  Gerini  (GER),Maserati,47,+3 laps,0
10,30,Troy Ruttman (RUT),Maserati,45,+5 laps,0
NC,14,Jean Behra (BEH),BRM,41,DNF,0
NC,16,Harry Schell (SCH),BRM,41,DNF,0
11,20,Roy Salvadori (SAL),Cooper Climax,37,+13 laps,0
NC,12,Stuart  Lewis-Evans  (LEW),Vanwall,,SHC,0
NC,12,Tony Brooks (BRO),Vanwall,35,DNF,0
NC,24,Graham Hill (HIL),Lotus Climax,33,DNF,0
NC,40,Paco  Godia (GOD),Maserati,28,DNF,0
NC,18,Maurice  Trintignant (TRI),BRM,23,DNF,0
NC,10,Tony Brooks (BRO),Vanwall,16,DNF,0
NC,28,Carroll  Shelby  (SHE),Maserati,9,DNF,0
NC,2,Luigi Musso (MUS),Ferrari,9,DNF,0
NC,26,Cliff Allison (ALL),Lotus Climax,6,DNF,0
