Track,Region,Country/Race,Date
Phoenix Street Circuit,United States,United States ,10 Mar 1991
Autódromo José Carlos Pace,Brazil,Brazil,24 Mar 1991
Autodromo Enzo e Dino Ferrari,San Marino,San Marino,28 Apr 1991
Circuit de Monaco,Monaco,Monaco,12 May 1991
Circuit Gilles-Villeneuve,Canada,Canada,02 Jun 1991
Autódromo Hermanos Rodríguez,Mexico,Mexico,16 Jun 1991
Circuit de Nevers Magny-Cours,France,France,07 Jul 1991
Silverstone Circuit,Great Britain,Great Britain,14 Jul 1991
Hockenheimring,Germany,Germany,28 Jul 1991
Hungaroring,Hungary,Hungary,11 Aug 1991
Circuit de Spa-Francorchamps,Belgium,Belgium,25 Aug 1991
Autodromo Nazionale Monza,Italy,Italy,08 Sep 1991
Autódromo do Estoril,Portugal,Portugal,22 Sep 1991
Circuit de Catalunya,Spain,Spain,29 Sep 1991
Suzuka International Racing Course,Japan,Japan,20 Oct 1991
Adelaide Street Circuit,Australia,Australia,03 Nov 1991
